Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
5,2,26,6.092
5,2,18,5.937
5,2,18,6.911
5,2,18,5.706
5,2,28,6.827
5,2,16,6.155
5,2,26,6.45
5,2,26,6.189
5,2,20,7.355
5,2,24,7.687
5,2,34,6.542
5,2,18,5.464
5,2,22,5.042
5,2,24,7.281
5,2,22,7.432
5,2,14,5.921
5,2,24,6.555
5,2,28,6.517
5,2,26,6.89
5,2,26,7.664
5,2,30,5.22
5,2,34,7.039
5,2,30,6.025
5,2,26,5.636
5,2,26,6.206
5,2,12,4.993
5,2,18,6.283
5,2,24,6.392
5,1,37,6.404
5,2,22,6.108
5,2,20,7.429
5,2,24,6.91
5,2,26,5.671
5,2,24,6.058
5,2,12,5.328
5,2,24,6.31
5,1,27,7.351
5,1,25,6.579
5,2,8,3.705
5,1,25,5.989
5,2,16,6.809
5,1,37,5.848
5,2,22,6.844
5,2,8,3.717
5,2,26,6.115
5,2,32,6.21
5,2,26,6.186
5,2,18,5.29
5,2,22,5.571
5,2,18,7.002

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
45,5,0,90.0,22.36,6.237
