Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
5,2,18,0.724
5,2,30,1.194
5,2,22,0.623
5,2,26,0.892
5,2,34,0.86
5,2,22,0.85
5,2,18,0.942
5,1,35,0.896
5,2,32,0.916
5,2,32,1.359
5,2,26,0.877
5,2,18,0.913
5,2,22,0.914
5,2,20,0.762
5,2,16,0.615
5,2,8,0.464
5,2,12,0.959
5,2,18,0.581
5,2,8,0.567
5,2,18,0.956
5,2,22,0.861
5,1,35,0.805
5,1,31,0.843
5,1,33,0.94
5,2,16,0.692
5,2,24,1.293
5,1,31,0.791
5,2,18,0.806
5,2,36,1.356
5,2,28,1.242
5,2,10,0.838
5,2,30,0.964
5,2,20,0.808
5,2,28,0.735
5,2,8,0.565
5,2,22,0.696
5,2,14,0.701
5,2,28,0.751
5,2,24,0.76
5,2,18,0.802
5,2,26,0.914
5,0,42,0.838
5,2,24,0.702
5,2,18,0.815
5,2,14,0.696
5,2,32,1.289
5,2,22,1.301
5,1,31,0.791
5,2,14,0.687
5,2,20,1.058

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
43,6,1,86.0,21.3,0.864
