Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
3,2,20,0.047
3,2,18,0.039
3,2,26,0.058
3,1,27,0.07
3,2,22,0.049
3,2,20,0.05
3,2,20,0.043
3,2,18,0.041
3,2,28,0.053
3,2,20,0.032
3,2,14,0.037
3,2,22,0.048
3,2,22,0.036
3,2,20,0.055
3,1,27,0.045
3,2,12,0.033
3,2,26,0.045
3,2,32,0.053
3,2,28,0.052
3,1,15,0.044
3,1,31,0.047
3,2,20,0.049
3,2,14,0.034
3,2,26,0.054
3,2,16,0.033
3,2,24,0.06
3,2,10,0.034
3,1,37,0.057
3,2,10,0.028
3,2,20,0.04
3,2,22,0.045
3,2,20,0.046
3,2,22,0.041
3,2,20,0.034
3,2,32,0.071
3,2,18,0.044
3,2,18,0.05
3,2,14,0.042
3,2,14,0.025
3,2,16,0.043
3,2,24,0.057
3,2,20,0.05
3,2,18,0.035
3,2,10,0.029
3,2,28,0.045
3,2,22,0.045
3,2,18,0.043
3,2,30,0.084
3,2,18,0.038
3,2,18,0.035

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
45,5,0,90.0,20.22,0.045
