Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
3,2,18,0.045
3,2,22,0.053
3,2,18,0.044
3,2,16,0.046
3,2,14,0.026
3,2,24,0.05
3,2,14,0.043
3,2,20,0.046
3,2,14,0.039
3,2,22,0.046
3,2,18,0.042
3,2,24,0.056
3,2,18,0.038
3,2,26,0.04
3,2,20,0.052
3,2,22,0.048
3,2,24,0.047
3,2,26,0.056
3,2,12,0.036
3,2,22,0.04
3,2,26,0.048
3,2,16,0.039
3,2,20,0.043
3,1,27,0.045
3,2,28,0.055
3,2,16,0.041
3,2,16,0.039
3,2,34,0.06
3,2,22,0.042
3,2,18,0.055
3,1,39,0.059
3,2,16,0.043
3,2,26,0.06
3,1,21,0.048
3,2,30,0.071
3,2,24,0.046
3,2,12,0.036
3,2,18,0.043
3,2,14,0.035
3,2,26,0.057
3,2,24,0.045
3,2,24,0.055
3,1,37,0.064
3,2,22,0.059
3,2,14,0.03
3,2,22,0.044
3,2,18,0.042
3,2,20,0.053
3,1,29,0.062
3,2,24,0.037
3,2,28,0.054
3,2,24,0.052
3,2,12,0.027
3,2,22,0.045
3,2,14,0.037
3,2,18,0.049
3,2,24,0.047
3,2,16,0.045
3,2,14,0.044
3,2,24,0.049
3,1,27,0.058
3,2,18,0.042
3,2,22,0.06
3,2,22,0.043
3,2,18,0.042
3,2,20,0.037
3,2,18,0.042
3,2,16,0.035
3,2,20,0.042
3,2,24,0.052
3,2,24,0.053
3,2,16,0.033
3,2,18,0.044
3,2,16,0.042
3,2,24,0.053
3,2,16,0.056
3,1,31,0.052
3,1,31,0.07
3,2,22,0.052
3,1,37,0.076
3,2,22,0.056
3,2,22,0.065
3,2,22,0.053
3,2,14,0.041
3,2,28,0.054
3,2,18,0.051
3,2,24,0.047
3,2,10,0.029
3,2,12,0.033
3,2,18,0.038
3,1,25,0.064
3,2,22,0.046
3,2,24,0.052
3,2,20,0.043
3,2,22,0.036
3,2,28,0.056
3,2,20,0.04
3,2,12,0.025
3,2,20,0.044
3,2,16,0.044
3,1,29,0.056
3,2,34,0.064
3,2,10,0.027
3,2,16,0.048
3,2,20,0.049
3,2,10,0.027
3,2,20,0.038
3,2,16,0.059
3,1,33,0.06
3,2,16,0.056
3,2,18,0.051
3,2,20,0.045
3,2,12,0.026
3,1,37,0.064
3,2,20,0.046
3,2,20,0.045
3,2,20,0.048
3,2,20,0.048
3,2,18,0.048
3,2,14,0.044
3,2,30,0.051
3,1,15,0.046
3,2,22,0.058
3,1,33,0.079
3,2,24,0.053
3,2,26,0.051
3,2,26,0.064
3,2,30,0.056
3,2,20,0.044
3,2,10,0.036
3,2,20,0.05
3,2,14,0.037
3,2,22,0.046
3,2,16,0.059
3,2,24,0.044
3,2,20,0.052
3,2,16,0.042
3,2,18,0.04
3,2,24,0.062
3,2,22,0.041
3,2,12,0.035
3,2,16,0.062
3,2,28,0.066
3,2,20,0.047
3,2,22,0.056
3,2,18,0.045
3,2,26,0.059
3,2,18,0.061
3,2,20,0.043
3,2,18,0.039
3,2,10,0.027
3,1,37,0.062
3,2,20,0.045
3,2,28,0.066
3,2,20,0.043
3,2,24,0.049
3,1,37,0.056
3,2,20,0.039
3,2,24,0.047
3,2,26,0.047
3,2,30,0.045
3,2,20,0.066
3,2,24,0.046
3,2,18,0.05
3,2,16,0.045
3,2,16,0.038
3,2,18,0.04
3,2,32,0.064
3,2,28,0.045
3,1,35,0.052
3,1,19,0.047
3,2,16,0.046
3,2,24,0.046
3,2,34,0.057
3,2,22,0.057
3,2,26,0.068
3,2,22,0.048
3,2,18,0.036
3,2,30,0.062
3,1,25,0.056
3,2,14,0.035
3,2,32,0.053
3,2,26,0.063
3,2,26,0.062
3,2,16,0.039
3,2,24,0.052
3,2,18,0.052
3,2,26,0.045
3,2,26,0.051
3,2,20,0.055
3,2,32,0.054
3,1,27,0.044
3,2,30,0.073
3,2,28,0.055
3,2,24,0.046
3,2,36,0.062
3,2,10,0.03
3,1,39,0.054
3,1,37,0.063
3,2,26,0.056
3,2,26,0.045
3,2,28,0.051
3,2,24,0.045
3,2,26,0.061
3,2,36,0.063
3,2,22,0.065
3,2,10,0.034
3,2,30,0.052
3,2,22,0.061
3,2,28,0.073
3,2,12,0.026
3,2,18,0.04
3,2,34,0.064
3,2,22,0.047
3,2,22,0.051
3,2,22,0.048
3,2,12,0.032
3,2,24,0.054
3,2,20,0.047
3,2,12,0.032
3,2,20,0.053
3,2,18,0.048
3,2,14,0.03
3,2,22,0.049
3,2,10,0.026
3,2,20,0.039
3,2,26,0.063
3,2,24,0.053
3,2,20,0.053
3,2,14,0.043
3,1,17,0.046
3,1,35,0.068
3,2,24,0.044
3,2,14,0.029
3,2,26,0.048
3,1,33,0.049
3,2,20,0.044
3,1,31,0.049
3,2,18,0.049
3,2,26,0.066
3,1,13,0.033
3,2,22,0.042
3,2,20,0.04
3,2,26,0.063
3,2,22,0.047
3,1,37,0.062
3,2,22,0.052
3,2,10,0.03
3,2,20,0.034
3,2,20,0.038

Number of wins,Number of losses,Number of draws,Percentage of wins,Average number of moves to win,Average time for each game
221,29,0,88.4,20.82,0.048
